tMs,etLabel,cnnFG,cryptoFG,stBull,regimeScore,composite
1782143931458,Jun 22 2026 11:58 AM ET,36,20,,71.4,45.7
1782145420101,Jun 22 2026 12:23 PM ET,36,20,,71.4,45.7
1782146701818,Jun 22 2026 12:45 PM ET,36,20,,71.4,45.7
1782148120212,Jun 22 2026 1:08 PM ET,36,20,,71.4,45.7
1782149402072,Jun 22 2026 1:30 PM ET,35,20,,71.4,45.7
1782150820271,Jun 22 2026 1:53 PM ET,35,20,,71.4,45.7
1782152101902,Jun 22 2026 2:15 PM ET,36,20,,71.4,45.7
1782153520117,Jun 22 2026 2:38 PM ET,36,20,,71.4,45.7
1782154801913,Jun 22 2026 3:00 PM ET,36,20,,71.4,45.7
1782156220451,Jun 22 2026 3:23 PM ET,35,20,,71.4,45.7
1782157087101,Jun 22 2026 3:38 PM ET,34,20,,71.4,45.7
1782158402136,Jun 22 2026 4:00 PM ET,34,20,,71.4,45.7
1782159820147,Jun 22 2026 4:23 PM ET,35,20,,71.4,45.7
1782161101883,Jun 22 2026 4:45 PM ET,35,20,,71.4,45.7
1782162520294,Jun 22 2026 5:08 PM ET,35,20,,71.4,45.7
1782163801975,Jun 22 2026 5:30 PM ET,35,20,,85.7,52.9
1782164924448,Jun 22 2026 5:48 PM ET,35,20,,85.7,52.9
1782219602656,Jun 23 2026 9:00 AM ET,34,23,,71.4,47.2
1782221401791,Jun 23 2026 9:30 AM ET,33,23,,57.1,40.1
1782222303790,Jun 23 2026 9:45 AM ET,28,23,,57.1,40.1
1782224101914,Jun 23 2026 10:15 AM ET,29,23,,71.4,47.2
1782225902246,Jun 23 2026 10:45 AM ET,29,23,,71.4,47.2
1782227702261,Jun 23 2026 11:15 AM ET,28,23,,71.4,47.2
1782229502145,Jun 23 2026 11:45 AM ET,28,23,,71.4,47.2
1782231301909,Jun 23 2026 12:15 PM ET,28,23,,71.4,47.2
1782231367812,Jun 23 2026 12:16 PM ET,28,23,,71.4,47.2
1782233101934,Jun 23 2026 12:45 PM ET,29,23,,71.4,47.2
1782234901955,Jun 23 2026 1:15 PM ET,29,23,,71.4,47.2
1782236702137,Jun 23 2026 1:45 PM ET,29,23,,71.4,47.2
1782238502249,Jun 23 2026 2:15 PM ET,28,23,,71.4,47.2
1782238663754,Jun 23 2026 2:17 PM ET,29,23,,71.4,47.2
1782240301955,Jun 23 2026 2:45 PM ET,28,23,,71.4,47.2
1782242101979,Jun 23 2026 3:15 PM ET,28,23,,71.4,47.2
1782243902116,Jun 23 2026 3:45 PM ET,28,23,,71.4,47.2
1782245701987,Jun 23 2026 4:15 PM ET,28,23,,71.4,47.2
1782246485400,Jun 23 2026 4:28 PM ET,28,23,,71.4,47.2
1782247587162,Jun 23 2026 4:46 PM ET,28,23,,71.4,47.2
1782251969844,Jun 23 2026 5:59 PM ET,28,23,,57.1,40.1
1782307596868,Jun 24 2026 9:26 AM ET,27,17,,57.1,37.1
1782314367851,Jun 24 2026 11:19 AM ET,28,17,,57.1,37.1
1782316167749,Jun 24 2026 11:49 AM ET,28,17,,57.1,37.1
1782316470216,Jun 24 2026 11:54 AM ET,28,17,,57.1,37.1
1782317702235,Jun 24 2026 12:15 PM ET,28,17,,57.1,37.1
1782319501952,Jun 24 2026 12:45 PM ET,28,17,,57.1,37.1
1782321302997,Jun 24 2026 1:15 PM ET,27,17,,57.1,37.1
1782323101845,Jun 24 2026 1:45 PM ET,26,17,,57.1,37.1
1782324203061,Jun 24 2026 2:03 PM ET,26,17,,57.1,37.1
1782325802035,Jun 24 2026 2:30 PM ET,26,17,,57.1,37.1
1782327602470,Jun 24 2026 3:00 PM ET,26,17,,57.1,37.1
1782329402279,Jun 24 2026 3:30 PM ET,25,17,,57.1,37.1
1782331202002,Jun 24 2026 4:00 PM ET,26,17,,57.1,37.1
1782331587421,Jun 24 2026 4:06 PM ET,26,17,,57.1,37.1
1782333002383,Jun 24 2026 4:30 PM ET,26,17,,57.1,37.1
1782334802098,Jun 24 2026 5:00 PM ET,26,17,,57.1,37.1
1782336602106,Jun 24 2026 5:30 PM ET,26,17,,57.1,37.1
1782337476589,Jun 24 2026 5:44 PM ET,26,17,,57.1,37.1
1782392402079,Jun 25 2026 9:00 AM ET,26,12,,57.1,34.6
1782393820628,Jun 25 2026 9:23 AM ET,26,12,,57.1,34.6
1782395101948,Jun 25 2026 9:45 AM ET,26,12,,57.1,34.6
1782396901921,Jun 25 2026 10:15 AM ET,28,12,,57.1,34.6
1782398702006,Jun 25 2026 10:45 AM ET,27,12,,57.1,34.6
1782400501971,Jun 25 2026 11:15 AM ET,27,12,,57.1,34.6
1782402301901,Jun 25 2026 11:45 AM ET,26,12,,57.1,34.6
1782403483963,Jun 25 2026 12:04 PM ET,26,12,,57.1,34.6
1782405001791,Jun 25 2026 12:30 PM ET,27,12,,57.1,34.6
1782406801932,Jun 25 2026 1:00 PM ET,26,12,,57.1,34.6
1782408601866,Jun 25 2026 1:30 PM ET,26,12,,57.1,34.6
1782410401931,Jun 25 2026 2:00 PM ET,26,12,,57.1,34.6
1782411903547,Jun 25 2026 2:25 PM ET,26,12,,42.9,27.4
1782413102035,Jun 25 2026 2:45 PM ET,26,12,,42.9,27.4
1782414902000,Jun 25 2026 3:15 PM ET,26,12,,42.9,27.4
1782416702088,Jun 25 2026 3:45 PM ET,25,12,,42.9,27.4
1782418501927,Jun 25 2026 4:15 PM ET,25,12,,42.9,27.4
1782419598265,Jun 25 2026 4:33 PM ET,25,12,,42.9,27.4
1782479085251,Jun 26 2026 9:04 AM ET,25,13,,42.9,27.9
1782479873232,Jun 26 2026 9:17 AM ET,25,13,,42.9,27.9
1782481501896,Jun 26 2026 9:45 AM ET,24,13,,42.9,27.9
1782482684517,Jun 26 2026 10:04 AM ET,24,13,,57.1,35.1
1782484201916,Jun 26 2026 10:30 AM ET,25,13,,57.1,35.1
1782485384293,Jun 26 2026 10:49 AM ET,25,13,,57.1,35.1
1782486901888,Jun 26 2026 11:15 AM ET,25,13,,57.1,35.1
1782488040919,Jun 26 2026 11:34 AM ET,25,13,,57.1,35.1
1782489602155,Jun 26 2026 12:00 PM ET,26,13,,57.1,35.1
1782490784393,Jun 26 2026 12:19 PM ET,26,13,,57.1,35.1
1782492302176,Jun 26 2026 12:45 PM ET,25,13,,57.1,35.1
1782493484529,Jun 26 2026 1:04 PM ET,25,13,,57.1,35.1
